Month,MktRF,SMB,HML,RMW,CMA,RF,cumMktPct,cumSMBPct,cumHMLPct,cumRMWPct,cumCMAPct,date
2004-02,1.4,-0.93,0.9,2.17,-1.21,0.06,1.4,-0.93,0.9,2.17,-1.21,2004.02
2004-03,-1.32,2.1,0.27,1.56,-0.98,0.09,0.06152,1.15047,1.17243,3.763852,-2.178142,2004.03
2004-04,-1.83,-2.01,-3.1,3.45,-2.84,0.08,-1.769606,-0.8826544,-1.963915,7.343705,-4.956283,2004.04
2004-05,1.17,-0.38,-0.25,-1.18,0.03,0.06,-0.6203102,-1.2593,-2.209006,6.077049,-4.92777,2004.05
2004-06,1.86,2.56,1.18,1.2,-0.39,0.08,1.228152,1.268462,-1.055072,7.349974,-5.298551,2004.06
2004-07,-4.06,-2.95,3.24,5.32,-1.66,0.1,-2.881711,-1.718958,2.150744,13.06099,-6.870595,2004.07
2004-08,0.08,-1.13,0.97,1.23,-1.47,0.11,-2.804016,-2.829534,3.141606,14.45164,-8.239598,2004.08
2004-09,1.6,3.27,0,-1.49,-1.88,0.11,-1.248881,0.3479404,3.141606,12.74631,-9.964693,2004.09
2004-10,1.43,0.19,-0.22,-0.52,0.49,0.11,0.1632604,0.5386015,2.914695,12.16003,-9.52352,2004.10
2004-11,4.54,4.11,1.41,-0.58,-0.22,0.15,4.710672,4.670738,4.365792,11.5095,-9.722568,2004.11
2004-12,3.43,-0.05,-0.22,-1.16,0.46,0.16,8.302249,4.618403,4.136187,10.21599,-9.307292,2004.12
2005-01,-2.76,-1.17,2.06,2.74,-1.46,0.16,5.313106,3.394367,6.281392,13.23591,-10.63141,2005.01
2005-02,1.89,-0.31,1.54,1.43,-0.05,0.16,7.303524,3.073845,7.918126,14.85519,-10.67609,2005.02
2005-03,-1.97,-1.42,2.04,0.47,1.29,0.21,5.189645,1.610196,10.11966,15.395,-9.523812,2005.03
2005-04,-2.61,-3.98,0.07,0.97,-0.94,0.21,2.444195,-2.43389,10.19674,16.51434,-10.37429,2005.04
2005-05,3.65,2.79,-0.64,-1,0.3,0.24,6.183408,0.2882049,9.49148,15.34919,-10.10541,2005.05
2005-06,0.57,3.28,2.83,0.96,-0.51,0.23,6.788654,3.577658,12.59009,16.45655,-10.56387,2005.06
2005-07,3.92,2.81,-0.79,-1.19,-0.82,0.24,10.97477,6.48819,11.70063,15.07071,-11.29725,2005.07
2005-08,-1.22,-0.89,1.32,-2.05,0.37,0.3,9.620877,5.540445,13.17508,12.71176,-10.96905,2005.08
2005-09,0.49,-0.34,0.71,0.27,-0.6,0.29,10.15802,5.181608,13.97862,13.01608,-11.50323,2005.09
2005-10,-2.02,-1.45,0.42,-0.93,-1.3,0.27,7.932827,3.656474,14.45733,11.96504,-12.65369,2005.10
2005-11,3.61,0.84,-1.16,-0.76,-1.14,0.31,11.8292,4.527189,13.12962,11.1141,-13.64944,2005.11
2005-12,-0.25,-0.2,0.2,0.21,0.23,0.32,11.54963,4.318134,13.35588,11.34744,-13.45083,2005.12
2006-01,3.04,5.75,1.08,-0.64,-0.46,0.35,14.94074,10.31643,14.58013,10.63482,-13.84896,2006.01
2006-02,-0.3,-0.42,-0.34,-0.51,1.91,0.34,14.59592,9.853098,14.19055,10.07058,-12.20348,2006.02
2006-03,1.46,3.38,0.6,0.06,-0.41,0.37,16.26902,13.56613,14.8757,10.13662,-12.56344,2006.03
2006-04,0.73,-0.84,2.34,1.8,0.01,0.36,17.11778,12.61218,17.56379,12.11908,-12.5547,2006.04
2006-05,-3.57,-2.85,2.41,1.15,1.46,0.43,12.93667,9.40273,20.39708,13.40845,-11.278,2006.05
2006-06,-0.35,-0.24,0.85,1.32,-0.07,0.4,12.5414,9.140164,21.42045,14.90544,-11.3401,2006.06
2006-07,-0.78,-3.63,2.6,1.63,0.9,0.4,11.66357,5.178376,24.57738,16.7784,-10.54216,2006.07
2006-08,2.03,0.44,-2.06,-1.86,2.09,0.42,13.93034,5.641161,22.01109,14.60632,-8.672494,2006.08
2006-09,1.84,-1.46,0.08,0.82,0.6,0.41,16.02666,4.0988,22.1087,15.54609,-8.124529,2006.09
2006-10,3.23,1.98,-0.31,-0.12,0.28,0.41,19.77432,6.159956,21.73016,15.40744,-7.867278,2006.10
2006-11,1.71,0.71,0.14,0.15,-0.8,0.42,21.82246,6.913692,21.90058,15.58055,-8.604339,2006.11
2006-12,0.87,-0.81,2.73,-0.72,2.06,0.4,22.88232,6.047691,25.22847,14.74837,-6.721589,2006.12
2007-01,1.4,0.07,-0.68,0.25,0.38,0.44,24.60267,6.121924,24.37692,15.03524,-6.367131,2007.01
2007-02,-1.96,1.29,-0.14,-0.51,-0.71,0.38,22.16046,7.490897,24.20279,14.44856,-7.031924,2007.02
2007-03,0.68,0.2,-0.97,0.64,-0.65,0.43,22.99115,7.705879,22.99802,15.18103,-7.636217,2007.03
2007-04,3.49,-2.04,-1.45,1.15,1.03,0.44,27.28354,5.508679,21.21455,16.50561,-6.68487,2007.04
2007-05,3.24,0.4,-0.65,1.58,-1.36,0.41,31.40753,5.930714,20.42665,18.3464,-7.953955,2007.05
2007-06,-1.96,0.74,-1.05,0.53,0.08,0.4,28.83194,6.714601,19.16218,18.97364,-7.880319,2007.06
2007-07,-3.73,-2.99,-3.71,0.2,-1.13,0.4,24.02651,3.523834,14.74126,19.21159,-8.921271,2007.07
2007-08,0.92,-0.37,-1.86,-1.21,-0.53,0.42,25.16755,3.140796,12.60707,17.76913,-9.403988,2007.08
2007-09,3.22,-2.44,-2.21,-0.52,-3.02,0.32,29.19795,0.6241607,10.11845,17.15673,-12.13999,2007.09
2007-10,1.8,-0.08,-2.98,-0.3,-0.09,0.32,31.52351,0.5436613,6.836925,16.80526,-12.21906,2007.10
2007-11,-4.83,-3.02,-0.94,1.89,-0.29,0.34,25.17093,-2.492757,5.832658,19.01288,-12.47363,2007.11
2007-12,-0.87,0.15,-0.55,0.87,-1.05,0.27,24.08194,-2.346496,5.250578,20.04829,-13.39265,2007.12
2008-01,-6.36,-0.65,3.97,2.14,2.14,0.21,16.19033,-2.981244,9.429026,22.61732,-11.53926,2008.01
2008-02,-3.09,-0.66,-0.84,0.88,-0.93,0.13,12.60005,-3.621568,8.509822,23.69635,-12.36194,2008.02
2008-03,-0.93,0.56,0.3,0.79,0.5,0.17,11.55287,-3.081849,8.835352,24.67355,-11.92375,2008.03
2008-04,4.6,-1.2,-0.94,1.64,-2.47,0.18,16.6843,-4.244867,7.812299,26.7182,-14.09923,2008.04
2008-05,1.86,3.02,-1.43,0.93,-0.06,0.18,18.85463,-1.353061,6.270583,27.89668,-14.15077,2008.05
2008-06,-8.44,1.18,-2.71,4.96,-0.55,0.17,8.823296,-0.1890276,3.390651,34.24036,-14.62295,2008.06
2008-07,-0.77,3.72,5.42,-1.37,1.08,0.15,7.985357,3.523941,8.994424,32.40126,-13.70087,2008.07
2008-08,1.53,3.46,1.59,1.86,0.84,0.13,9.637533,7.105869,10.72744,34.86393,-12.97596,2008.08
2008-09,-9.24,0.25,5.91,2.41,1.78,0.15,-0.4929753,7.373634,17.27143,38.11415,-11.42693,2008.09
2008-10,-17.23,-3.34,-2.3,3.04,2.05,0.08,-17.63804,3.787354,14.57418,42.31282,-9.611185,2008.10
2008-11,-7.86,-3.89,-6.31,4.53,2.75,0.03,-24.11169,-0.2499739,7.344553,48.75959,-7.125492,2008.11
2008-12,1.74,3.29,0.14,0.06,-1.49,0,-22.79123,3.031802,7.494835,48.84884,-8.509323,2008.12
2009-01,-8.12,-2.14,-11.29,0.18,-1.17,0,-29.06058,0.8269214,-4.641332,49.11677,-9.579763,2009.01
2009-02,-10.1,-1.32,-6.95,1.19,-1.02,0.01,-36.22546,-0.5039939,-11.26876,50.89126,-10.50205,2009.02
2009-03,8.95,0.67,3.47,-2.52,-2.25,0.02,-30.51764,0.1626293,-8.189785,47.0888,-12.51575,2009.03
2009-04,10.18,7.13,5.36,1.31,0.13,0.01,-23.44434,7.304225,-3.268758,49.01566,-12.40202,2009.04
2009-05,5.21,-2.32,0.28,-0.78,-2.17,0,-19.45579,4.814767,-2.99791,47.85334,-14.3029,2009.05
2009-06,0.43,2.29,-2.73,-1.41,-0.33,0.01,-19.10945,7.215025,-5.646067,45.76861,-14.5857,2009.06
2009-07,7.72,2.39,4.83,-0.46,3.14,0.01,-12.8647,9.777464,-1.088772,45.09807,-11.90369,2009.07
2009-08,3.33,-0.09,7.63,-3.02,3.34,0.01,-9.963091,9.678664,6.458155,40.71611,-8.961275,2009.08
2009-09,4.08,2.73,1.05,1.31,0.36,0.01,-6.289585,12.67289,7.575965,42.55949,-8.633536,2009.09
2009-10,-2.59,-4.93,-4.21,4.17,-1.51,0,-8.716685,7.118118,3.047017,48.50422,-10.01317,2009.10
2009-11,5.56,-2.68,-0.34,1,0.12,0,-3.641333,4.247353,2.696657,49.98927,-9.905185,2009.11
2009-12,2.75,6.24,-0.17,1.02,-0.09,0.01,-0.9914695,10.75239,2.522073,51.51916,-9.98627,2009.12
2010-01,-3.36,0.34,0.43,-1.27,0.46,0,-4.318156,11.12895,2.962918,49.59486,-9.572207,2010.01
2010-02,3.4,1.51,3.23,-0.27,1.43,0,-1.064973,12.80699,6.28862,49.19096,-8.27909,2010.02
2010-03,6.31,1.85,2.21,-0.65,1.69,0.01,5.177827,14.89392,8.637599,48.22122,-6.729006,2010.03
2010-04,2,4.98,2.89,0.69,1.72,0.01,7.281383,20.61564,11.77723,49.24394,-5.124745,2010.04
2010-05,-7.89,0.04,-2.44,1.3,-0.21,0.01,-1.183118,20.66389,9.049861,51.18411,-5.323983,2010.05
2010-06,-5.57,-2.47,-4.7,-0.16,-1.55,0.01,-6.687218,17.68349,3.924517,50.94222,-6.791462,2010.06
2010-07,6.93,0.12,-0.31,0.24,2.01,0.01,-0.2206424,17.82471,3.602351,51.30448,-4.91797,2010.07
2010-08,-4.77,-3.15,-1.9,0.53,-1.59,0.01,-4.980118,14.11323,1.633907,52.10639,-6.429774,2010.08
2010-09,9.54,3.75,-3.16,-0.21,0.38,0.01,4.084779,18.39248,-1.577725,51.78697,-6.074207,2010.09
