Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,27.809999,29.110001,27.400000,28.170000,16.310440,21490000
2004-02-01,28.240000,29.750000,27.520000,29.650000,17.167368,14154400
2004-03-01,29.870001,30.480000,28.010000,29.340000,16.987869,22773100
2004-04-01,29.389999,31.040001,28.910000,29.840000,17.350773,25964500
2004-05-01,29.930000,30.799999,28.650000,29.750000,17.298435,36946800
2004-06-01,30.030001,31.990000,29.540001,31.480000,18.304377,39628800
2004-07-01,31.600000,32.730000,31.309999,32.450001,18.943537,24797700
2004-08-01,32.500000,32.849998,30.559999,31.950001,18.651649,48803700
2004-09-01,32.000000,35.279999,31.959999,34.930000,20.391293,47898000
2004-10-01,35.049999,36.830002,34.349998,35.139999,20.595675,66058100
2004-11-01,35.349998,37.900002,34.320000,37.509998,21.984745,77605300
2004-12-01,37.400002,37.529999,34.759998,36.320000,21.287287,71242100
2005-01-01,36.099998,37.709999,34.540001,37.549999,22.088150,77167200
2005-02-01,37.759998,44.750000,37.709999,43.849998,25.794016,90268200
2005-03-01,43.750000,45.139999,40.779999,42.869999,25.217548,252411200
2005-04-01,43.430000,44.480000,39.410000,40.549999,23.932270,366081900
2005-05-01,40.490002,42.090000,37.939999,41.680000,24.599190,318560300
2005-06-01,41.919998,46.150002,41.810001,44.450001,26.234024,285274700
2005-07-01,44.509998,48.480000,44.509998,47.599998,28.180927,283648100
2005-08-01,47.820000,50.889999,46.869999,50.639999,29.980721,302465300
2005-09-01,51.299999,54.650002,50.439999,53.669998,31.774595,307291200
2005-10-01,54.049999,54.299999,44.939999,48.820000,28.985836,597461500
2005-11-01,48.560001,51.340000,46.730000,49.549999,29.419264,421911900
2005-12-01,49.950001,53.189999,49.459999,50.310001,29.870512,362386100
2006-01-01,50.630001,58.279999,50.630001,57.660000,34.324009,445269600
2006-02-01,57.490002,58.070000,51.090000,52.340000,31.157103,554313800
2006-03-01,52.740002,55.700001,50.549999,54.400002,32.383381,511031000
2006-04-01,54.750000,59.849998,54.250000,57.139999,34.115253,424460600
2006-05-01,57.549999,60.150002,52.150002,55.549999,33.165932,557877800
2006-06-01,55.000000,57.180000,50.009998,56.750000,33.882393,676643200
2006-07-01,57.049999,58.980000,54.250000,58.650002,35.146332,367825600
2006-08-01,58.540001,59.880001,55.540001,55.669998,33.360561,363097400
2006-09-01,56.000000,57.270000,50.169998,53.450001,32.030212,517274100
2006-10-01,53.220001,57.450001,50.200001,55.730000,33.510914,565978700
2006-11-01,55.619999,60.830002,54.720001,60.509998,36.385155,450946200
2006-12-01,60.110001,62.130001,58.189999,58.630001,35.254711,362478200
2007-01-01,58.310001,58.389999,53.889999,58.090000,35.034405,650083100
2007-02-01,58.099998,59.529999,56.450001,56.900002,34.316696,416980800
2007-03-01,56.320000,61.160000,54.939999,60.279999,36.355186,570962300
2007-04-01,60.259998,64.750000,60.189999,63.369999,38.344166,353589200
2007-05-01,63.439999,69.070000,62.980000,68.300003,41.327244,454866200
2007-06-01,68.639999,71.449997,66.790001,68.989998,41.744717,405407800
2007-07-01,69.110001,74.730003,68.110001,69.000000,41.872013,519811400
2007-08-01,68.669998,70.300003,62.730000,69.830002,42.375725,619540900
2007-09-01,69.599998,76.300003,68.779999,74.800003,45.391708,347598700
2007-10-01,74.750000,78.500000,72.669998,76.699997,46.667168,486212900
2007-11-01,75.570000,77.750000,69.610001,73.470001,44.701916,510613800
2007-12-01,72.879997,80.599998,72.879997,79.349998,48.279530,338488100
2008-01-01,79.949997,80.750000,62.970001,69.599998,42.456287,611609700
2008-02-01,70.519997,79.019997,66.930000,76.050003,46.390797,446371500
2008-03-01,76.099998,77.730003,68.849998,74.059998,45.176899,534668200
2008-04-01,73.800003,85.290001,73.349998,81.750000,50.011410,466347800
2008-05-01,80.720001,91.419998,78.430000,86.000000,52.611416,565475400
2008-06-01,85.580002,89.720001,83.389999,88.480003,54.128571,637709600
2008-07-01,88.169998,90.160004,71.849998,74.400002,45.635201,850202500
2008-08-01,74.449997,76.910004,68.349998,74.650002,45.788525,723578600
2008-09-01,72.099998,78.099998,59.130001,63.299999,38.826710,1015421500
2008-10-01,62.700001,69.919998,38.840000,51.400002,31.629198,1369309600
2008-11-01,50.599998,53.299999,39.820000,50.279999,30.940014,875175200
2008-12-01,48.250000,50.790001,40.529999,47.770000,29.395479,777758400
2009-01-01,48.200001,53.189999,43.959999,46.919998,29.022194,845359300
2009-02-01,45.939999,50.770000,40.279999,41.130001,25.440819,755773300
2009-03-01,40.189999,46.650002,37.400002,42.459999,26.263474,829776000
2009-04-01,41.500000,47.750000,41.470001,45.779999,28.462593,464059600
2009-05-01,45.959999,52.349998,45.740002,51.680000,32.130764,452274600
2009-06-01,52.680000,57.709999,46.310001,48.049999,29.873907,513829100
2009-07-01,48.580002,51.669998,43.660000,50.619999,31.632568,486007800
2009-08-01,51.490002,53.459999,48.740002,51.169998,31.976254,353752200
2009-09-01,51.020000,56.279999,49.910000,53.919998,33.694740,382857800
2009-10-01,53.900002,60.560001,51.340000,55.250000,34.679241,487791200
2009-11-01,55.639999,59.130001,54.689999,56.820000,35.664696,388171300
2009-12-01,57.580002,58.259998,54.169998,57.009998,35.783951,324603500
2010-01-01,57.919998,60.869999,54.220001,54.500000,34.394676,396907400
2010-02-01,55.150002,57.560001,52.669998,56.139999,35.429668,437318700
2010-03-01,56.400002,59.419998,55.720001,57.520000,36.300575,403215500
2010-04-01,58.090000,62.299999,58.040001,59.910000,37.941273,429168600
2010-05-01,60.169998,61.070000,50.150002,53.049999,33.596813,634741300
2010-06-01,52.169998,56.700001,49.570000,49.680000,31.462576,493543000
2010-07-01,49.849998,54.720001,48.560001,53.840000,34.252579,323089600
2010-08-01,54.849998,56.310001,50.330002,51.200001,32.573051,319719700
2010-09-01,52.049999,56.750000,51.970001,56.060001,35.664932,308127200
2010-10-01,56.599998,60.290001,55.680000,59.240002,37.861282,284559500
2010-11-01,59.830002,63.889999,59.070000,62.709999,40.079025,347299600
2010-12-01,63.740002,68.500000,63.740002,68.250000,43.619740,229401100
2011-01-01,68.900002,73.150002,67.489998,73.150002,46.959381,299608500
2011-02-01,73.440002,78.690002,71.220001,78.540001,50.419552,318369100
2011-03-01,79.000000,80.970001,72.900002,79.750000,51.196316,413631600
2011-04-01,80.449997,80.900002,75.190002,80.480003,51.838879,338542000
2011-05-01,80.650002,80.800003,72.279999,77.110001,49.668190,569581000
2011-06-01,76.919998,77.250000,70.449997,75.349998,48.534538,516569900
2011-07-01,75.190002,79.970001,74.550003,76.449997,49.424648,358764200
2011-08-01,77.800003,77.849998,61.099998,68.639999,44.375523,785263500
2011-09-01,68.750000,69.650002,57.950001,58.509998,37.826515,534809900
2011-10-01,57.840000,73.190002,54.259998,69.709999,45.244221,500005200
2011-11-01,66.980003,72.900002,63.830002,70.870003,45.997105,430419400
2011-12-01,70.680000,72.169998,64.800003,69.129997,44.867790,298820600
2012-01-01,70.599998,73.160004,68.739998,70.690002,46.074482,289250700
2012-02-01,71.330002,76.500000,70.820000,74.879997,48.805454,278565200
2012-03-01,75.209999,75.760002,70.169998,71.750000,46.765354,322026400
2012-04-01,71.570000,72.989998,67.680000,71.239998,46.612309,276668900
2012-05-01,71.379997,72.769997,62.540001,63.630001,41.633080,378774200
2012-06-01,62.349998,66.500000,61.110001,66.370003,43.425854,344107700
2012-07-01,66.370003,70.680000,64.639999,69.650002,45.792088,291007200
2012-08-01,69.910004,73.029999,68.160004,71.529999,47.028103,212709700
2012-09-01,71.459999,77.349998,70.400002,73.430000,48.277256,206863800
2012-10-01,73.940002,75.190002,71.019997,71.940002,47.509426,236902800
2012-11-01,71.660004,73.059998,67.769997,71.059998,46.928288,234855900
2012-12-01,71.599998,73.389999,69.570000,71.419998,47.166019,198245000
2013-01-01,72.949997,78.589996,72.000000,77.349998,51.342487,195100300
2013-02-01,77.760002,79.510002,75.459999,77.690002,51.568195,199333200
2013-03-01,77.379997,80.139999,76.849998,79.309998,52.643486,177628200
2013-04-01,79.309998,79.620003,73.519997,78.269997,52.185989,304250000
2013-05-01,77.599998,83.949997,76.959999,80.500000,53.672832,262859500
2013-06-01,80.800003,81.900002,76.019997,78.300003,52.205994,273290600
2013-07-01,78.790001,83.959999,78.349998,82.419998,55.216339,202353100
2013-08-01,83.089996,83.849998,79.830002,81.570000,54.646904,187728600
2013-09-01,82.389999,85.739998,81.769997,82.910004,55.544624,173557100
2013-10-01,82.680000,87.620003,81.309998,86.389999,58.144455,242185700
